"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PITX1",2954.36167910247,6.68957226095605,0.167295217995942,39.9866316628268,0,0
"LOC107525399",74763.9067318956,-0.954251760998499,0.102802022292951,-9.2824220741417,1.65668937925335e-20,3.3133787585067e-19
"TGFBI",20233.6991069813,0.521184912666464,0.110506940631335,4.71630930771311,2.40161245491147e-06,3.20214993988195e-05
"ZCCHC10",6056.28183571697,-0.467702504893278,0.117197450463329,-3.99072252036422,6.58723126536271e-05,0.000658723126536271
"UBE2B",32624.5721932338,-0.400437579348831,0.106398242460862,-3.76357325165525,0.000167502631777777,0.00134002105422221
"LOC107525383",49720.0592548204,-0.452835491980467,0.13245061427258,-3.41890065567037,0.000628746774187943,0.00419164516125296
"PCBD2",7302.401241215,0.390811690605327,0.119482206217375,3.27087775642776,0.00107214244331467,0.00612652824751241
"SEC24A",36997.8047322243,-0.320619922791181,0.10344677530969,-3.09937087774207,0.00193932089420309,0.00969660447101544
"JADE2",3498.04514038669,0.335976119808236,0.116939749148464,2.87307029692435,0.00406503653318356,0.017206228404983
"FBXL21",6598.50774140584,-0.334189396271223,0.117047646349626,-2.85515690997312,0.00430155710124575,0.017206228404983
"SMAD5",111243.400045887,-0.296016802232146,0.110173966339037,-2.68681261162202,0.00721374099354562,0.026231785431075
"PPP2CA",68815.3429401346,-0.275969936793016,0.109883671505505,-2.51147357029465,0.0120228288370959,0.0400760961236529
"FSTL4",18259.620325932,0.265152593032938,0.111941658856128,2.36866771264952,0.0178522844179218,0.054930105901298
"DDX46",37944.0700260111,-0.224909983151903,0.0999969203302736,-2.24916909849885,0.0245017396876461,0.0700049705361318
"SAR1B",4941.48616816752,-0.207170029797077,0.10630827027874,-1.9487668198709,0.0513232778862627,0.135798274573528
"CDKL3",1737.51611212101,0.2552336164951,0.132638399437665,1.92428148693887,0.0543193098294112,0.135798274573528
"SHROOM1",3344.75420727821,0.184963941730346,0.113286970047783,1.63270269875106,0.10253153957479,0.228046337252156
"CATSPER3",5195.14608483706,0.178133472811175,0.109874857416901,1.62123962659883,0.104966257320514,0.228046337252156
"LOC107525428",64.5369463468436,0.630042209742961,0.392358710441174,1.60578112063456,0.108322010194774,0.228046337252156
"LECT2",94.8060333542648,0.511511591302114,0.33025282856645,1.54884847927712,0.121418148446732,0.242836296893464
"TCF7",5712.17782873512,0.162295310252988,0.108939652937648,1.48977260232211,0.136284037294725,0.259588642466143
"HSPA4",35110.8645427191,0.148909533246667,0.103266855741341,1.44198767530649,0.149305850509457,0.271465182744467
"CAMLG",6230.05332880236,-0.173895234888053,0.123195307742858,-1.41154105683165,0.158085138452618,0.273698214647539
"LOC107525377",11715.5666964586,0.160472123036936,0.115362797233056,1.39102142879519,0.164218928788524,0.273698214647539
"AFF4",92091.8740249288,-0.117417740021227,0.0997185293313338,-1.17749169395674,0.238999310825041,0.382398897320065
"LOC107525378",44918.1466562095,0.105235628759256,0.0994384971787369,1.05829866445084,0.28991930164355,0.44602969483623
"SKP1",24483.4216373325,-0.0998453572693964,0.10632593368316,-0.939049898841468,0.347705125640369,0.515118704652399
"GDF9",597.011863540287,-0.132566988705365,0.168626484400471,-0.786157578844683,0.431775175091273,0.616821678701818
"LOC107525423",4710.8257537638,0.218308645786445,0.316143868879322,0.690535756901795,0.489857331770862,0.675665285201189
"SLC25A48",3675.23273501253,-0.0581198110039026,0.11133781368525,-0.522013223361887,0.601661123729819,0.779948830018031
"LOC107525429",2358.28131214433,0.0615771381294052,0.11887546618798,0.517997027511397,0.604460343263974,0.779948830018031
"LOC107525408",0.38196664239087,-1.6936185945842,4.03935893791254,-0.419279054081643,0.675012202661836,0.828834356719948
"IL9",9.81985899479137,-0.38847144024679,0.981739385530289,-0.395697112667998,0.69232848578041,0.828834356719948
"TXNDC15",7747.16729366611,0.0410804442136513,0.1083229062493,0.379240602344131,0.704509203211956,0.828834356719948
"TRPC7",1855.58837893397,0.0359221539129317,0.134616344867293,0.266848382700811,0.789585900474213,0.884717967854385
"LEAP2",0.734489525787177,-0.858598397763959,3.74736889881098,-0.229120329742926,0.818775392863284,0.884717967854385
"TIFAB",4.80427591881921,-0.352951278708805,1.67816732974414,-0.210319479144322,0.833418333121386,0.884717967854385
"CDKN2AIPNL",1729.38247942313,-0.0245336230317821,0.121889913212669,-0.201276893100882,0.840482069461666,0.884717967854385
"VDAC1",25520.5512147548,0.00771969461752671,0.105314234193151,0.0733015311431542,0.941566173303806,0.965708895696211
"SOWAHA",300.063506297266,0.000536376471786724,0.206493651577883,0.00259754461063622,0.997927461589829,0.997927461589829
"CXCL14",0,NA,NA,NA,NA,NA
"NEUROG1",0,NA,NA,NA,NA,NA
"LOC107525426",0,NA,NA,NA,NA,NA
